deck_id,avg_elixirCost,avg_card_usage,total_hitpoints,num_air,num_troop,num_spell,num_building,num_winconditions,num_cycle_cards,num_air_attackers,num_splash_cards,deck_name,deck_win_rate
55,3.5,7.81,5006.0,0.0,4.0,3.0,1.0,0.0,5.0,4.0,5.0,Deck 55,63.66
56,4.5,4.47,11368.0,3.0,5.0,2.0,1.0,1.0,2.0,4.0,3.0,Deck 56,63.52
57,4.25,4.62,6984.0,1.0,5.0,3.0,0.0,0.0,1.0,5.0,6.0,Deck 57,63.44
58,4.0,4.81,6676.0,0.0,5.0,2.0,1.0,2.0,5.0,2.0,4.0,Deck 58,63.36
59,3.62,3.76,5751.0,0.0,5.0,3.0,0.0,1.0,5.0,4.0,4.0,Deck 59,63.31
60,3.12,8.22,5165.0,1.0,5.0,2.0,1.0,0.0,6.0,4.0,3.0,Deck 60,63.3
61,3.0,7.47,7110.0,0.0,6.0,2.0,0.0,1.0,5.0,3.0,2.0,Deck 61,63.28
62,3.75,3.5,7550.0,0.0,6.0,2.0,0.0,1.0,4.0,3.0,3.0,Deck 62,62.99
63,3.5,7.91,4841.0,0.0,4.0,3.0,1.0,0.0,4.0,4.0,5.0,Deck 63,62.82
64,4.0,6.71,8919.0,1.0,4.0,3.0,1.0,1.0,3.0,4.0,6.0,Deck 64,62.79
65,3.38,10.17,6952.0,0.0,6.0,1.0,1.0,0.0,5.0,3.0,4.0,Deck 65,62.47
66,3.25,10.71,7023.0,1.0,6.0,1.0,1.0,0.0,5.0,3.0,3.0,Deck 66,62.42
67,4.25,4.92,10272.0,2.0,6.0,2.0,0.0,1.0,3.0,4.0,3.0,Deck 67,62.36
68,3.12,9.05,6493.0,3.0,6.0,2.0,0.0,1.0,5.0,4.0,3.0,Deck 68,62.2
69,3.75,4.79,9647.0,3.0,6.0,2.0,0.0,0.0,3.0,4.0,4.0,Deck 69,62.13
70,3.25,5.74,5249.0,1.0,5.0,2.0,1.0,0.0,4.0,3.0,2.0,Deck 70,61.89
72,3.62,8.97,8578.0,3.0,6.0,2.0,0.0,0.0,4.0,4.0,4.0,Deck 72,61.68
73,4.75,7.02,6109.0,0.0,4.0,2.0,2.0,1.0,2.0,3.0,5.0,Deck 73,61.52
74,4.12,7.18,10348.0,1.0,4.0,3.0,1.0,1.0,4.0,4.0,7.0,Deck 74,61.47
75,4.5,7.46,7688.0,1.0,6.0,2.0,0.0,2.0,2.0,4.0,3.0,Deck 75,61.44
76,3.62,4.49,8406.0,0.0,5.0,2.0,1.0,0.0,4.0,3.0,4.0,Deck 76,61.23
77,3.25,5.98,4942.0,1.0,7.0,1.0,0.0,0.0,6.0,3.0,2.0,Deck 77,61.12
78,3.5,3.53,5428.0,0.0,3.0,4.0,1.0,0.0,3.0,5.0,7.0,Deck 78,61.12
79,4.0,5.82,8051.0,0.0,5.0,3.0,0.0,1.0,3.0,5.0,4.0,Deck 79,60.22
80,3.5,5.43,11286.0,0.0,6.0,1.0,1.0,1.0,4.0,2.0,2.0,Deck 80,60.21
81,4.5,5.47,5922.0,0.0,4.0,4.0,0.0,2.0,2.0,6.0,6.0,Deck 81,60.21
82,3.25,6.59,5984.0,0.0,5.0,2.0,1.0,0.0,4.0,3.0,4.0,Deck 82,60.2
83,3.62,4.39,8143.0,0.0,5.0,3.0,0.0,1.0,4.0,4.0,5.0,Deck 83,60.18
84,4.0,5.43,6074.0,1.0,5.0,2.0,1.0,1.0,2.0,4.0,3.0,Deck 84,60.14
85,4.12,5.59,3874.0,0.0,4.0,4.0,0.0,1.0,3.0,6.0,6.0,Deck 85,60.11
86,3.5,8.82,6879.0,2.0,4.0,2.0,1.0,1.0,3.0,3.0,3.0,Deck 86,60.1
87,3.75,6.71,6795.0,0.0,7.0,1.0,0.0,1.0,4.0,1.0,2.0,Deck 87,60.06
88,4.5,5.18,9465.0,0.0,4.0,3.0,1.0,1.0,2.0,4.0,5.0,Deck 88,60.03
89,3.38,5.48,7376.0,0.0,6.0,1.0,1.0,0.0,3.0,3.0,3.0,Deck 89,60.01
90,3.12,5.59,6047.0,1.0,5.0,2.0,1.0,0.0,5.0,3.0,4.0,Deck 90,59.88
91,3.12,8.72,4548.0,0.0,5.0,2.0,1.0,0.0,6.0,3.0,3.0,Deck 91,59.85
93,3.62,4.31,6749.0,1.0,6.0,1.0,1.0,0.0,4.0,3.0,3.0,Deck 93,59.72
95,3.12,11.62,6670.0,0.0,6.0,2.0,0.0,1.0,4.0,3.0,2.0,Deck 95,59.55
96,3.5,9.43,4324.0,0.0,4.0,3.0,1.0,0.0,4.0,5.0,4.0,Deck 96,59.51
97,3.12,6.13,6505.0,0.0,5.0,2.0,1.0,0.0,5.0,3.0,5.0,Deck 97,59.45
98,4.25,8.05,9588.0,0.0,6.0,2.0,0.0,2.0,3.0,3.0,3.0,Deck 98,59.36
99,1.5,6.06,2567.0,0.0,6.0,2.0,0.0,0.0,6.0,2.0,1.0,Deck 99,59.35
101,3.88,4.15,5521.0,2.0,6.0,2.0,0.0,1.0,3.0,5.0,5.0,Deck 101,59.24
102,2.62,9.11,3258.0,0.0,8.0,0.0,0.0,0.0,7.0,2.0,1.0,Deck 102,59.18
103,2.25,9.0,3785.0,1.0,5.0,2.0,1.0,0.0,8.0,3.0,3.0,Deck 103,59.13
104,3.0,13.77,3767.0,0.0,4.0,3.0,1.0,0.0,6.0,4.0,5.0,Deck 104,59.12
105,4.0,8.21,5813.0,0.0,5.0,2.0,1.0,2.0,5.0,3.0,3.0,Deck 105,59.08
106,3.62,4.4,5004.0,0.0,3.0,4.0,1.0,0.0,3.0,5.0,7.0,Deck 106,59.01
107,2.5,7.21,4192.0,1.0,8.0,0.0,0.0,0.0,7.0,2.0,1.0,Deck 107,58.92
108,3.25,14.34,7406.0,1.0,6.0,2.0,0.0,1.0,5.0,4.0,3.0,Deck 108,58.77
109,3.0,6.34,5898.0,1.0,5.0,2.0,1.0,0.0,5.0,3.0,4.0,Deck 109,58.77
110,4.25,6.24,9580.0,1.0,4.0,3.0,1.0,1.0,3.0,5.0,7.0,Deck 110,58.77
111,3.25,10.33,6440.0,0.0,6.0,2.0,0.0,1.0,5.0,3.0,2.0,Deck 111,58.65
112,3.0,6.66,6000.0,0.0,7.0,1.0,0.0,0.0,6.0,2.0,1.0,Deck 112,58.59
113,3.75,4.78,5296.0,1.0,4.0,3.0,1.0,0.0,3.0,5.0,5.0,Deck 113,58.56
114,4.38,5.26,11930.0,0.0,6.0,1.0,1.0,1.0,2.0,2.0,2.0,Deck 114,58.55
115,3.38,6.5,7399.0,3.0,4.0,2.0,1.0,1.0,3.0,4.0,4.0,Deck 115,58.55
